OldValue,NewValue
A30,"no credits taken all credits paid back duly" 
A31,"all credits at this bank paid back duly"
A32,"existing credits paid back duly till now" 
A33,"delay in paying off in the past" 
A34,"critical account other credits existing (not at this bank)" 
A40,"new car"  
A41,"used car"  
A42,"furniture equipment" 
A43,"radio television" 
A44,"domestic appliances" 
A45,"repairs" 
A46,"education" 
A47,"vacation"
A48,"retraining" 
A49,"business" 
A410,"others" 
A61,"Less than 100 DM"
A62,"100 to 500 DM" 
A63,"500 to 1000 DM" 
A64,"Greater than 1000 DM" 
A65,"unknown no savings account" 
A71,"unemployed" 
A72,"Less than 1 year" 
A73,"1 to 4 years" 
A74,"4 to 7 years" 
A75,"Greater than 7 years" 
A91,"male divorced separated" 
A92,"female divorced separated married" 
A93,"male single "
A94,"male married widowed "
A95,"female single "
A101,"none "
A102,"co-applicant" 
A103,"guarantor "
A121,"real estate" 
A122,"building society savings agreement life insurance "
A123,"car or other not in attribute 6" 
A124,"unknown / no property "
A141,"bank" 
A142,"stores "
A143,"none "
A151,"rent" 
A152,"own "
A153,"for free" 
A171,"unemployed unskilled - non-resident "
A172,"unskilled - resident "
A173,"skilled employee official "
A174,"management self-employed highly qualified employee officer" 
A191,"none" 
A192,"yes registered under the customers name" 
A201,"yes" 
A202,"no" 